name,league,rank,prev_rank,off,def,spi
Real Salt Lake,Major League Soccer,351,350,1.2,1.7,34.7
Querétaro,Mexican Primera Division Torneo Apertura,352,348,1,1.5,34.5
Columbus Crew,Major League Soccer,353,354,1.1,1.6,34.5
IF Elfsborg,Swedish Allsvenskan,354,355,1.5,2.1,34.4
Chacarita Juniors,Argentina Primera Division,355,356,1,1.4,34.2
FC St. Pauli,German 2. Bundesliga,356,357,1.1,1.6,34.2
US Pescara,Italy Serie B,357,365,1.2,1.7,34.1
Vitoria Setubal,Portuguese Liga,358,364,1,1.5,34
Cremonese,Italy Serie B,359,368,0.9,1.4,33.9
Skenderbeu Korce,UEFA Europa League,360,358,1.1,1.6,33.8
Reus Deportiu,Spanish Segunda Division,361,383,0.7,1.1,33.4
St Gallen,Swiss Raiffeisen Super League,362,361,1.3,1.9,33.4
Desportivo Aves,Portuguese Liga,363,352,1,1.5,33.3
Energiya Khabarovsk,Russian Premier Liga,364,362,1.2,1.8,33.3
Philadelphia Union,Major League Soccer,365,363,1.1,1.7,33.3
Perugia,Italy Serie B,366,378,1.1,1.7,33.2
Nottingham Forest,English League Championship,367,388,1,1.6,33.1
FC Dallas,Major League Soccer,368,366,1.1,1.7,32.9
Novara,Italy Serie B,369,374,0.9,1.4,32.8
Queens Park Rangers,English League Championship,370,353,1,1.6,32.8
Ipswich Town,English League Championship,371,367,1,1.6,32.7
Cultural Leonesa,Spanish Segunda Division,372,369,1.1,1.8,32.6
1. FC Kaiserslautern,German 2. Bundesliga,373,371,1,1.5,32.3
Tromso,Norwegian Tippeligaen,374,372,1.2,1.8,32.3
Kristiansund BK,Norwegian Tippeligaen,375,373,1.2,1.9,32.3
Sochaux,French Ligue 2,376,381,1,1.6,32.1
Auxerre,French Ligue 2,377,424,1,1.5,32.1
Chateauroux,French Ligue 2,378,382,1,1.6,31.8
Willem II,Dutch Eredivisie,379,376,1.3,2,31.6
Houston Dynamo,Major League Soccer,380,379,1,1.6,31.5
Hammarby,Swedish Allsvenskan,381,380,1.1,1.8,31.4
AS Nancy Lorraine,French Ligue 2,382,359,0.9,1.5,31.2
Excelsior,Dutch Eredivisie,383,391,1.1,1.8,31.2
Chicago Fire,Major League Soccer,384,385,1.1,1.8,31.1
Stabaek,Norwegian Tippeligaen,385,387,1.2,2,31
Reading,English League Championship,386,375,0.9,1.6,31
Cesena,Italy Serie B,387,386,1.1,1.8,31
Lillestrom,Norwegian Tippeligaen,388,389,1,1.7,30.9
Bolton,English League Championship,389,393,1,1.7,30.5
Veracruz,Mexican Primera Division Torneo Apertura,390,370,0.9,1.5,30.5
Sunderland,English League Championship,391,396,1,1.7,30.4
Heracles,Dutch Eredivisie,392,394,1.3,2.1,30.3
Barnsley,English League Championship,393,398,0.9,1.6,30.3
New England Revolution,Major League Soccer,394,395,1.1,1.9,30.2
Birmingham,English League Championship,395,404,0.9,1.5,30.1
Carpi,Italy Serie B,396,390,0.7,1.2,30.1
VVV Venlo,Dutch Eredivisie,397,402,1,1.7,29.7
Virtus Entella,Italy Serie B,398,384,1,1.7,29.6
Erzgebirge Aue,German 2. Bundesliga,399,399,0.9,1.6,29.6
Salernitana,Italy Serie B,400,403,1,1.8,29.5
Vancouver Whitecaps,Major League Soccer,401,400,1,1.7,29.4
Montreal Impact,Major League Soccer,402,401,1.1,1.9,29.3
Avellino,Italy Serie B,403,408,1,1.8,29.1
F.B.C Unione Venezia,Italy Serie B,404,397,0.8,1.5,29
La Hoya Lorca,Spanish Segunda Division,405,405,1,1.7,28.9
Karabükspor,Turkish Turkcell Super Lig,406,392,0.9,1.6,28.3
Ternana,Italy Serie B,407,410,1.1,1.9,27.8
Hearts,Scottish Premiership,408,411,0.7,1.4,27.7
Sogndal,Norwegian Tippeligaen,409,413,1,1.9,27.2
Orebro SK,Swedish Allsvenskan,410,414,1.1,2,27.1
Kalmar FF,Swedish Allsvenskan,411,416,0.9,1.7,27.1
Halmstads BK,Swedish Allsvenskan,412,417,0.9,1.7,27.1
Brescia,Italy Serie B,413,407,0.8,1.6,27
IK Sirius,Swedish Allsvenskan,414,418,1.2,2.1,27
NAC,Dutch Eredivisie,415,412,1,1.8,26.9
Foggia,Italy Serie B,416,409,1,1.9,26.9
GFC Ajaccio,French Ligue 2,417,432,0.8,1.5,26.9
Hibernian,Scottish Premiership,418,419,0.9,1.7,26.9
Wolfsberger AC,Austrian T-Mobile Bundesliga,419,420,0.8,1.6,26.8
Sevilla Atletico,Spanish Segunda Division,420,415,0.8,1.7,26.8
Valenciennes,French Ligue 2,421,406,1,1.9,26.6
Aalesund,Norwegian Tippeligaen,422,422,1.1,2.1,26.3
Haugesund,Norwegian Tippeligaen,423,423,0.9,1.8,26.2
Jonkopings Sodra IF,Swedish Allsvenskan,424,425,0.8,1.6,25.8
Orléans,French Ligue 2,425,426,0.9,1.9,25.4
Kilmarnock,Scottish Premiership,426,427,0.9,1.8,25.3
Niort,French Ligue 2,427,377,0.9,1.9,24.9
Hamilton Academical,Scottish Premiership,428,428,0.9,1.9,24.7
DC United,Major League Soccer,429,429,0.9,1.9,24.6
Burton Albion,English League Championship,430,421,0.8,1.8,24.5
Orlando City SC,Major League Soccer,431,430,0.9,1.9,24.5
Odd BK,Norwegian Tippeligaen,432,433,0.8,1.7,24.2
Ascoli,Italy Serie B,433,431,0.7,1.7,23.8
GIF Sundsvall,Swedish Allsvenskan,434,435,0.8,1.9,23.5
Los Angeles Galaxy,Major League Soccer,435,436,0.9,2,23.3
Minnesota United FC,Major League Soccer,436,438,0.9,2.1,22.4
Sandefjord,Norwegian Tippeligaen,437,439,0.9,2.1,22.4
Roda JC,Dutch Eredivisie,438,440,0.9,2.1,22.3
Viking FK,Norwegian Tippeligaen,439,441,0.9,2.1,22.1
Pro Vercelli,Italy Serie B,440,434,0.8,2,22
US Quevilly,French Ligue 2,441,437,0.8,2,21.9
San Jose Earthquakes,Major League Soccer,442,442,0.8,2,21.4
St. Pölten,Austrian T-Mobile Bundesliga,443,443,0.8,2,20.8
Motherwell,Scottish Premiership,444,444,0.8,2,20.6
Colorado Rapids,Major League Soccer,445,445,0.6,1.8,20.5
Vasby United,Swedish Allsvenskan,446,446,0.7,2,20
St Johnstone,Scottish Premiership,447,448,0.6,1.8,19.7
Dundee,Scottish Premiership,448,449,0.7,1.8,19.7
Ross County,Scottish Premiership,449,450,0.7,2,17.5
Tours,French Ligue 2,450,452,0.6,2,17.4
Bourg-Peronnas,French Ligue 2,451,447,0.9,2.5,17.4
Sparta,Dutch Eredivisie,452,451,0.7,2.3,15.9
Partick Thistle,Scottish Premiership,453,453,0.5,2,14.7
