president,subgroup,modeldate,approve_estimate,approve_hi,approve_lo,disapprove_estimate,disapprove_hi,disapprove_lo,timestamp
Donald Trump,Adults,11/26/2017,37.45581,40.93557,33.97606,56.34441,61.08575,51.60306,13:05:23 26 Nov 2017
Donald Trump,All polls,11/26/2017,38.39222,42.77029,34.01414,55.54683,60.15193,50.94173,13:05:18 26 Nov 2017
Donald Trump,All polls,11/25/2017,38.44119,42.79749,34.08489,55.45301,60.03166,50.87435,13:18:16 25 Nov 2017
Donald Trump,Voters,11/25/2017,40.0748,44.33574,35.81387,54.76105,58.96188,50.56023,13:18:44 25 Nov 2017
Donald Trump,Adults,11/25/2017,37.52008,40.99286,34.0473,56.21497,60.93591,51.49404,13:18:33 25 Nov 2017
Donald Trump,Adults,11/24/2017,37.49094,40.94191,34.03998,56.29383,60.95646,51.6312,13:18:39 25 Nov 2017
Donald Trump,All polls,11/24/2017,38.42519,42.75566,34.09473,55.50383,60.03542,50.97224,13:18:28 25 Nov 2017
Donald Trump,Voters,11/24/2017,40.0748,44.33574,35.81387,54.76105,58.96188,50.56023,13:18:49 25 Nov 2017
Donald Trump,Adults,11/23/2017,37.49094,40.94191,34.03998,56.29383,60.95646,51.6312,13:06:23 23 Nov 2017
Donald Trump,Voters,11/23/2017,40.0748,44.33574,35.81387,54.76105,58.96188,50.56023,13:06:28 23 Nov 2017
Donald Trump,All polls,11/23/2017,38.42519,42.75566,34.09473,55.50383,60.03542,50.97224,13:06:17 23 Nov 2017
Donald Trump,Adults,11/22/2017,37.46259,40.92633,33.99884,56.36794,61.05016,51.68571,13:05:23 22 Nov 2017
Donald Trump,Voters,11/22/2017,40.0748,44.33574,35.81387,54.76105,58.96188,50.56023,13:05:28 22 Nov 2017
Donald Trump,All polls,11/22/2017,38.41062,42.75452,34.06672,55.54749,60.09285,51.00213,13:05:17 22 Nov 2017
Donald Trump,Voters,11/21/2017,39.89044,44.09651,35.68438,55.191,59.12326,51.25874,21:28:26 21 Nov 2017
Donald Trump,Adults,11/21/2017,37.27388,40.85829,33.68948,56.78977,61.24873,52.33081,21:28:21 21 Nov 2017
Donald Trump,All polls,11/21/2017,38.16841,42.40234,33.93447,56.02618,60.28223,51.77013,21:28:15 21 Nov 2017
Donald Trump,Adults,11/20/2017,37.67971,41.36098,33.99844,55.82434,60.27885,51.36983,13:18:22 20 Nov 2017
Donald Trump,Voters,11/20/2017,39.11744,43.54091,34.69396,55.79084,59.82341,51.75828,13:18:27 20 Nov 2017
Donald Trump,All polls,11/20/2017,38.11539,42.51321,33.71758,55.75067,60.06194,51.43939,13:18:16 20 Nov 2017
Donald Trump,Adults,11/19/2017,37.64998,41.31887,33.98109,55.8158,60.27929,51.3523,20:53:20 19 Nov 2017
Donald Trump,Voters,11/19/2017,39.22339,43.62117,34.82561,55.75001,59.75269,51.74733,20:53:25 19 Nov 2017
Donald Trump,All polls,11/19/2017,38.1493,42.56184,33.73676,55.70245,60.02735,51.37754,20:53:15 19 Nov 2017
Donald Trump,Voters,11/18/2017,39.28837,43.77735,34.7994,55.46194,59.46125,51.46262,13:18:26 18 Nov 2017
Donald Trump,Adults,11/18/2017,37.66021,41.32718,33.99324,55.76469,60.22801,51.30137,13:18:21 18 Nov 2017
Donald Trump,All polls,11/18/2017,38.19148,42.61405,33.76891,55.45759,59.77378,51.1414,13:18:15 18 Nov 2017
Donald Trump,Voters,11/17/2017,39.28837,43.77735,34.7994,55.46194,59.46125,51.46262,14:27:25 17 Nov 2017
Donald Trump,Adults,11/17/2017,37.49475,41.12764,33.86187,55.80109,60.26508,51.3371,14:27:21 17 Nov 2017
Donald Trump,All polls,11/17/2017,38.07958,42.49039,33.66876,55.4835,59.79652,51.17048,14:27:15 17 Nov 2017
Donald Trump,Adults,11/16/2017,37.56749,41.25379,33.8812,56.05001,60.54091,51.55912,22:26:21 16 Nov 2017
Donald Trump,Voters,11/16/2017,39.17174,43.72211,34.62136,55.44165,59.49014,51.39315,22:26:26 16 Nov 2017
Donald Trump,All polls,11/16/2017,38.12582,42.58415,33.66749,55.66437,60.01311,51.31562,22:26:15 16 Nov 2017
Donald Trump,Voters,11/15/2017,39.02678,43.52971,34.52385,55.44995,59.54884,51.35107,21:47:25 15 Nov 2017
Donald Trump,Adults,11/15/2017,37.50333,41.1248,33.88186,56.09998,60.62872,51.57123,21:47:20 15 Nov 2017
Donald Trump,All polls,11/15/2017,38.08255,42.49938,33.66573,55.61642,60.02238,51.21045,21:47:15 15 Nov 2017
Donald Trump,Voters,11/14/2017,38.96594,43.43122,34.50066,55.51689,59.64754,51.38624,15:07:26 14 Nov 2017
Donald Trump,Adults,11/14/2017,37.54153,40.96108,34.12197,56.23203,61.02762,51.43644,15:07:21 14 Nov 2017
Donald Trump,All polls,11/14/2017,38.05358,42.36156,33.7456,55.78141,60.36355,51.19926,15:07:16 14 Nov 2017
Donald Trump,Voters,11/13/2017,39.11507,43.75508,34.47506,55.69787,60.18501,51.21073,13:07:26 13 Nov 2017
Donald Trump,Adults,11/13/2017,37.26438,40.80128,33.72747,56.38675,61.30583,51.46766,13:07:22 13 Nov 2017
Donald Trump,All polls,11/13/2017,38.07273,42.68018,33.46527,55.89657,60.70871,51.08443,13:07:16 13 Nov 2017
Donald Trump,Adults,11/12/2017,37.29921,40.83548,33.76295,56.3454,61.25752,51.43328,13:07:20 12 Nov 2017
Donald Trump,Voters,11/12/2017,38.91225,43.31968,34.50483,55.91314,60.30188,51.52439,13:07:25 12 Nov 2017
Donald Trump,All polls,11/12/2017,37.98497,42.4199,33.55003,55.9723,60.75954,51.18506,13:07:15 12 Nov 2017
Donald Trump,Adults,11/11/2017,37.19261,40.67566,33.70955,56.49899,61.37941,51.61858,18:28:25 11 Nov 2017
Donald Trump,Voters,11/11/2017,38.91225,43.31968,34.50483,55.91314,60.30188,51.52439,18:28:30 11 Nov 2017
Donald Trump,All polls,11/11/2017,37.91284,42.33805,33.48764,56.08043,60.84921,51.31165,18:28:18 11 Nov 2017
Donald Trump,Voters,11/10/2017,38.91225,43.31968,34.50483,55.91314,60.30188,51.52439,17:38:26 10 Nov 2017
