date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,score1,score2
1921-11-06,1921,0,,CBD,DAY,1505.723,1514.319,0.5804662109486513,0.41953378905134875,1527.878,1492.164,14,0
1921-11-06,1921,0,,COL,AKR,1349.282,1684.292,0.17446572159791382,0.8255342784020862,1339.675,1693.899,0,21
1921-11-06,1921,0,,RCH,TON,1432.764,1478.004,0.5284063044920551,0.47159369550794494,1468.554,1442.214,45,0
1921-11-06,1921,0,,ARI,HAM,1486.511,1421.675,0.678611056863766,0.321388943136234,1499.133,1409.054,7,0
1921-11-06,1921,0,,GB,ECG,1400.301,1354.267,0.6545642498889076,0.3454357501110924,1424.224,1330.343,43,6
1921-11-13,1921,0,,CHI,RII,1583.267,1565.704,0.6166305306397533,0.38336946936024674,1593.512,1555.459,3,0
1921-11-13,1921,0,,GB,HAM,1424.224,1409.054,0.6133689180996386,0.38663108190036144,1439.739,1393.54,14,7
1921-11-13,1921,0,,DAY,DTI,1492.164,1294.146,0.8196611312321836,0.18033886876781635,1502.9,1283.411,27,0
1921-11-13,1921,0,,BFF,AKR,1615.786,1693.899,0.48113783144031785,0.5188621685596821,1616.361,1693.323,0,0
1921-11-13,1921,0,,CTI,CBD,1494.613,1527.878,0.5455437476364552,0.4544562523635448,1471.592,1550.898,0,7
1921-11-20,1921,0,,BFF,CBD,1616.361,1550.898,0.6793977307743809,0.3206022692256191,1610.89,1556.37,7,7
1921-11-20,1921,0,,ARI,GB,1499.133,1439.739,0.6717408911838079,0.32825910881619214,1493.895,1444.976,3,3
1921-11-20,1921,0,,RCH,COL,1468.554,1339.675,0.7532566424402186,0.24674335755978138,1480.836,1327.393,27,13
1921-11-20,1921,0,,CHI,CTI,1593.512,1471.592,0.7457358978191706,0.2542641021808294,1606.507,1458.597,22,7
1921-11-20,1921,0,,DAY,AKR,1502.9,1693.323,0.3269543002568812,0.6730456997431188,1522.689,1673.534,3,0
1921-11-24,1921,0,,AKR,CBD,1673.534,1556.37,0.7405098665316118,0.25949013346838823,1629.807,1600.097,0,14
1921-11-24,1921,0,,CHI,BFF,1606.507,1610.89,0.5863603871817877,0.41363961281821227,1598.148,1619.249,6,7
1921-11-27,1921,0,,BFF,DAY,1619.249,1522.689,0.7170781499354318,0.28292185006456816,1630.21,1511.727,7,0
1921-11-27,1921,0,,SEN,CBD,1300.0,1600.097,0.20532696084480004,0.7946730391551999,1289.713,1610.384,0,15
1921-11-27,1921,0,,ECG,CCL,1330.343,1482.179,0.3775716432953696,0.6224283567046305,1380.782,1431.74,48,0
